Bankrupt?,roa,operating_margin,net_growth_rate,debt_ratio,borrowing_dependency,cash_to_assets,cash_flow_rate
1,0.370594257300249,0.601457213277793,0.326977269203,0.207576261450555,0.390284354359258,0.004094405952288,0.458143143520965
1,0.464290937454297,0.610235085544617,0.44304010054419996,0.171176346101521,0.376760019951553,0.0149477269714099,0.461867257156757
1,0.426071271876371,0.601450006486113,0.3964253147034,0.207515796474892,0.379092920106557,0.0009909444511248,0.458520587470538
1,0.399844001364988,0.583541129160121,0.3824259063219,0.151464764035432,0.379742687599394,0.0188506248270314,0.465705442741753
1,0.465022181055916,0.598783493564335,0.43894758187289995,0.106509054630105,0.375025442703033,0.0141609737513009,0.462746282177097
1,0.388680349046946,0.590171377506162,0.3517819250519,0.180427487377936,0.38144818747302,0.0026452256427289,0.465861452907577
0,0.390922829425243,0.619949840729904,0.35175697066969996,0.216101823019016,0.384998982291879,0.0229885979786101,0.461020105181047
0,0.508360551845171,0.601738278153332,0.4510504572116,0.108202073948665,0.374219104729994,0.0146159133960059,0.467023980272263
0,0.48851947545459,0.603612043990256,0.45272240081509996,0.058590561417299,0.370253398138601,0.145189217702725,0.463142178941983
0,0.495685662750451,0.599208694273483,0.4449116792048,0.121292741179672,0.374508760118367,0.0087727909152724,0.470575308455583
0,0.482474528347877,0.61402585796855,0.44855501899749994,0.103576503310457,0.374179962109944,0.0020568362370428,0.464818030078089
0,0.444401111490274,0.623711785987114,0.4550681127365,0.0943858270097046,0.373113046123427,0.0205422288308614,0.465490719072662
0,0.491151952420416,0.608130702373917,0.4429652373977,0.144662454273362,0.377306898271686,0.0582180014761003,0.464100047809567
0,0.474040852142544,0.600577984692775,0.4420918340228,0.106569519605768,0.373151070382904,0.0741698566235507,0.467198443253399
0,0.506703066348169,0.604685855950648,0.47373399057849996,0.0896393264201711,0.373692356900173,0.021194016958275,0.47876668092566
0,0.513820504070589,0.621773159025065,0.46924220179299997,0.0990718626235753,0.373544733304554,0.0037668242316719,0.472093471897201
0,0.48890947204212,0.60652358782917,0.4585617262363,0.0612812528342957,0.372267565530338,0.0528667007517992,0.462196052775052
0,0.535952810412909,0.618450828060364,0.4717625943893,0.0787253983130272,0.372724975004641,0.013907170944156,0.470061984684163
0,0.504070589382343,0.598343879271826,0.4610322100683,0.141336880611906,0.378709322430063,0.0128012850229898,0.468443169522659
0,0.487398235265441,0.636258810302829,0.4455604931405,0.0774858663119388,0.371230845279288,0.0935031388966463,0.465163600983032
0,0.485253254034027,0.622176739359172,0.44561040190469997,0.0963509387187471,0.36963718146295,0.0319240864779537,0.488241362824287
0,0.504558085116755,0.607446057164272,0.46639740222879994,0.100734649454304,0.371209596428404,0.139413215037929,0.470644087130839
0,0.512016769853264,0.618933683102956,0.4669713530181,0.146506636031079,0.377012769441021,0.038272302580135,0.470652474774163
0,0.49485692000195,0.609507199584889,0.443189826837,0.19303443480364,0.38727596441824,0.207866389543797,0.464264445618715
